atom_count,case_id,certificate_bytes,checker_kernel_ms,claim,coefficient_sum_bits,digest_match,generation_ms,max_coefficient_bits,oracle_calls,repetition,strict_margin,trust_level
0,timing_shortest_L400_p3_supportable,42140,72.480513,positive_weight_supportable,0,True,68.041073,0,1,29,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,75.196293,positive_weight_supportable,0,True,70.029361,0,1,30,,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,57.292973,nonnegative_weight_unsupported,2,True,109.629661,1,3,1,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,55.461885,nonnegative_weight_unsupported,2,True,108.788211,1,3,2,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,53.981426,nonnegative_weight_unsupported,2,True,108.66797,1,3,3,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,58.337497,nonnegative_weight_unsupported,2,True,158.747636,1,3,4,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,53.294348,nonnegative_weight_unsupported,2,True,105.951461,1,3,5,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,53.751066,nonnegative_weight_unsupported,2,True,104.968868,1,3,6,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,53.657952,nonnegative_weight_unsupported,2,True,107.324888,1,3,7,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,81.538366,nonnegative_weight_unsupported,2,True,108.511134,1,3,8,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,55.732505,nonnegative_weight_unsupported,2,True,105.882437,1,3,9,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,135.049077,nonnegative_weight_unsupported,2,True,111.063978,1,3,10,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,56.505318,nonnegative_weight_unsupported,2,True,116.433567,1,3,11,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,54.785771,nonnegative_weight_unsupported,2,True,109.220287,1,3,12,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,57.857699,nonnegative_weight_unsupported,2,True,107.435418,1,3,13,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,58.776618,nonnegative_weight_unsupported,2,True,110.45725,1,3,14,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,56.109895,nonnegative_weight_unsupported,2,True,111.030877,1,3,15,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,59.795059,nonnegative_weight_unsupported,2,True,106.811176,1,3,16,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,54.898685,nonnegative_weight_unsupported,2,True,108.512405,1,3,17,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,55.451162,nonnegative_weight_unsupported,2,True,109.02957,1,3,18,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,58.786053,nonnegative_weight_unsupported,2,True,110.06468,1,3,19,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,53.623285,nonnegative_weight_unsupported,2,True,114.802077,1,3,20,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,54.778942,nonnegative_weight_unsupported,2,True,106.570407,1,3,21,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,55.321289,nonnegative_weight_unsupported,2,True,107.264647,1,3,22,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,53.143456,nonnegative_weight_unsupported,2,True,181.738505,1,3,23,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,54.171997,nonnegative_weight_unsupported,2,True,105.503109,1,3,24,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,54.628116,nonnegative_weight_unsupported,2,True,106.356437,1,3,25,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,52.581705,nonnegative_weight_unsupported,2,True,129.532864,1,3,26,1/3,P1_FULLY_CHECKABLE
